Source.Name,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
season-0809,14/09/2008,Villarreal,La Coruna,1,0,H,1,0,H,19,6,8,2,15,16,10,3,3,2,0,0
season-0809,20/09/2008,Ath Madrid,Recreativo,4,0,H,1,0,H,14,9,7,1,12,18,6,7,0,1,0,0
season-0809,20/09/2008,Espanol,Getafe,1,1,D,0,0,D,8,17,2,7,20,14,2,4,3,3,0,0
season-0809,21/09/2008,Almeria,Malaga,1,0,H,0,0,D,11,3,3,0,20,17,3,1,1,4,1,1
season-0809,21/09/2008,Ath Bilbao,Valladolid,2,0,H,0,0,D,20,12,6,2,17,17,4,2,3,2,0,0
season-0809,21/09/2008,Betis,Sevilla,0,0,D,0,0,D,14,11,3,1,18,16,5,8,2,2,0,0
season-0809,21/09/2008,La Coruna,Mallorca,0,0,D,0,0,D,17,14,6,2,15,23,6,8,5,3,1,1
season-0809,21/09/2008,Numancia,Villarreal,1,2,A,1,0,H,14,20,4,7,15,15,4,5,1,1,0,0
season-0809,21/09/2008,Santander,Real Madrid,0,2,A,0,0,D,13,9,2,3,19,16,10,4,0,5,0,0
season-0809,21/09/2008,Sp Gijon,Barcelona,1,6,A,0,2,A,5,23,2,8,16,8,3,14,2,0,1,0
season-0809,21/09/2008,Valencia,Osasuna,1,0,H,0,0,D,12,6,2,2,20,11,5,2,1,1,0,1
season-0809,24/09/2008,Barcelona,Betis,3,2,H,2,0,H,18,8,8,3,11,19,6,5,2,3,0,0
season-0809,24/09/2008,Getafe,Ath Madrid,1,2,A,0,1,A,18,9,6,5,9,18,7,2,2,4,0,0
season-0809,24/09/2008,Osasuna,La Coruna,0,0,D,0,0,D,14,6,2,1,12,13,8,3,1,2,0,1
season-0809,24/09/2008,Real Madrid,Sp Gijon,7,1,H,3,0,H,16,15,12,3,14,17,3,2,0,0,0,0
season-0809,24/09/2008,Sevilla,Espanol,2,0,H,0,0,D,20,5,10,1,17,24,3,2,3,6,0,0
season-0809,24/09/2008,Villarreal,Santander,2,0,H,2,0,H,7,6,5,3,3,6,1,5,3,5,0,0
season-0809,25/09/2008,Malaga,Valencia,0,2,A,0,0,D,9,10,3,5,17,24,2,3,4,1,1,0
season-0809,25/09/2008,Mallorca,Numancia,2,0,H,1,0,H,11,11,7,1,19,15,6,3,1,2,0,0
season-0809,25/09/2008,Recreativo,Ath Bilbao,1,1,D,0,0,D,13,10,7,3,14,21,5,3,2,3,0,0
season-0809,25/09/2008,Valladolid,Almeria,2,0,H,0,0,D,14,4,5,2,17,16,6,0,3,1,1,0
season-0809,27/09/2008,Betis,Real Madrid,1,2,A,0,1,A,15,17,7,8,19,17,3,5,3,3,1,1
season-0809,27/09/2008,Espanol,Barcelona,1,2,A,1,0,H,5,33,3,8,26,17,0,12,3,2,1,0
season-0809,27/09/2008,Sp Gijon,Villarreal,0,1,A,0,0,D,15,8,6,4,25,23,9,6,5,2,0,0
season-0809,28/09/2008,Almeria,Recreativo,1,0,H,0,0,D,10,5,4,1,27,18,12,1,1,1,0,3
